Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-05-20,2016,5,20,Friday,20,2016-20,204.92,206.1,204.86,205.49,104990400,186.31,0.0063174515054642555,186.53214285714284,186.6308
2016-05-23,2016,5,23,Monday,21,2016-21,205.51,205.84,204.99,205.21,58682600,186.06,-0.0013623872201772302,186.4707142857143,186.69420000000002
2016-05-24,2016,5,24,Tuesday,21,2016-21,206.17,208.24,206.14,207.87,93537800,188.47,0.012962098814537137,186.65571428571428,186.81040000000002
2016-05-25,2016,5,25,Wednesday,21,2016-21,208.67,209.77,207.87,209.28,76621400,189.75,0.006783086633930235,186.935,186.9582
2016-05-26,2016,5,26,Thursday,21,2016-21,209.44,209.71,208.97,209.34,55280700,189.8,0.0002868427244637761,187.16928571428573,187.08579999999998
2016-05-27,2016,5,27,Friday,21,2016-21,209.53,210.25,209.47,210.24,64211200,190.62,0.004299236438951137,187.45071428571427,187.2066
2016-05-31,2016,5,31,Tuesday,22,2016-22,210.56,210.69,209.18,209.84,109879400,190.26,-0.001902672106013581,187.54071428571427,187.30560000000003
2016-06-01,2016,6,1,Wednesday,22,2016-22,209.12,210.48,208.89,210.27,69936200,190.65,0.0020493778723009726,187.785,187.40720000000002
2016-06-02,2016,6,2,Thursday,22,2016-22,209.8,210.93,209.24,210.91,63044700,191.23,0.0030436486005722685,188.06714285714287,187.52239999999998
2016-06-03,2016,6,3,Friday,22,2016-22,210.25,210.69,208.86,210.28,101757100,190.66,-0.00298717476193211,188.42499999999998,187.65059999999997
2016-06-06,2016,6,6,Monday,23,2016-23,210.7,211.77,210.51,211.35,64887000,191.63,0.005088513972244524,188.72142857142856,187.8
2016-06-07,2016,6,7,Tuesday,23,2016-23,211.53,212.34,211.5,211.68,60974800,191.92,0.0015613470105675376,189.16357142857143,187.953
2016-06-08,2016,6,8,Wednesday,23,2016-23,211.84,212.52,211.69,212.37,66170900,192.55,0.003259661019105131,189.64642857142857,188.0844
2016-06-09,2016,6,9,Thursday,23,2016-23,211.51,212.22,211.19,212.08,73786900,192.29,-0.0013654811654969512,190.15714285714287,188.19440000000003
2016-06-10,2016,6,10,Friday,23,2016-23,210.46,210.86,209.43,210.07,113829200,190.47,-0.009477641384174507,190.45428571428573,188.27700000000002
