Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-05-27,2016,5,27,Friday,21,2016-21,92.31,92.93,92.25,92.6,762200,82.42,0.004883297505802853,81.27642857142857,81.1746
2016-05-31,2016,5,31,Tuesday,22,2016-22,92.75,93.33,91.87,92.85,3257000,82.64,0.0026998107586788667,81.295,81.21820000000001
2016-06-01,2016,6,1,Wednesday,22,2016-22,93.02,93.53,92.46,93.0,1147700,82.77,0.0016156171648338269,81.38071428571429,81.2662
2016-06-02,2016,6,2,Thursday,22,2016-22,92.81,92.94,92.0,92.76,873900,82.56,-0.002580725678050011,81.39357142857143,81.3372
2016-06-03,2016,6,3,Friday,22,2016-22,92.75,93.81,92.75,93.5,1028600,83.22,0.007977618164218159,81.49857142857142,81.4112
2016-06-06,2016,6,6,Monday,23,2016-23,93.5,93.99,92.79,93.29,1083500,83.03,-0.002245956329727017,81.57428571428571,81.4788
2016-06-07,2016,6,7,Tuesday,23,2016-23,93.36,93.66,93.1,93.21,406800,82.96,-0.0008577515332250929,81.77071428571428,81.5406
2016-06-08,2016,6,8,Wednesday,23,2016-23,93.11,93.72,92.36,93.72,939700,83.41,0.005471791292256611,82.05142857142856,81.5842
2016-06-09,2016,6,9,Thursday,23,2016-23,93.67,96.71,93.54,96.42,2991900,85.82,0.028808950003882616,82.45642857142857,81.6762
2016-06-10,2016,6,10,Friday,23,2016-23,96.09,97.2,95.34,96.4,1631500,85.8,-0.00020723232824315652,82.85142857142857,81.7634
2016-06-13,2016,6,13,Monday,24,2016-24,96.02,96.71,95.6,95.63,1086300,85.11,-0.007987612211866502,83.1692857142857,81.8082
2016-06-14,2016,6,14,Tuesday,24,2016-24,95.33,96.81,94.85,96.58,1231800,85.96,0.009934218864931621,83.50214285714286,81.8914
2016-06-15,2016,6,15,Wednesday,24,2016-24,96.57,96.81,95.51,96.05,2317900,85.49,-0.005487838594298244,83.80071428571429,81.9858
2016-06-16,2016,6,16,Thursday,24,2016-24,96.07,96.85,95.77,96.78,1422700,86.14,0.007600212118037186,84.09500000000001,82.084
